"No.","Time","Source","Destination","Protocol","Length","Info"
"259","4.109847","192.168.0.100","54.187.107.148","TLSv1.2","1340","Application Data"
"260","4.109913","192.168.0.100","54.187.107.148","TLSv1.2","493","Application Data"
"261","4.109961","192.168.0.100","54.187.107.148","TLSv1.2","357","Application Data"
"262","4.109971","192.168.0.100","54.187.107.148","TLSv1.2","441","Application Data"
"263","4.110520","192.168.0.100","54.187.107.148","TLSv1.2","499","Application Data"
"264","4.110655","192.168.0.100","54.187.107.148","TLSv1.2","1236","Application Data"
"265","4.113718","192.168.0.100","54.187.107.148","TLSv1.2","299","Application Data"
"266","4.113783","192.168.0.100","54.187.107.148","TLSv1.2","354","Application Data"
"267","4.113784","192.168.0.100","54.187.107.148","TLSv1.2","356","Application Data"
"268","4.113801","192.168.0.100","54.187.107.148","TLSv1.2","366","Application Data"
"269","4.113810","192.168.0.100","54.187.107.148","TLSv1.2","453","Application Data"
"270","4.113837","192.168.0.100","54.187.107.148","TLSv1.2","491","Application Data"
"271","4.113880","192.168.0.100","54.187.107.148","TLSv1.2","489","Application Data"
"272","4.113881","192.168.0.100","54.187.107.148","TLSv1.2","489","Application Data"
"273","4.113896","192.168.0.100","54.187.107.148","TLSv1.2","455","Application Data"
"274","4.113920","192.168.0.100","54.187.107.148","TLSv1.2","493","Application Data"
"275","4.113938","192.168.0.100","54.187.107.148","TLSv1.2","491","Application Data"
"276","4.114017","192.168.0.100","54.187.107.148","TLSv1.2","491","Application Data"
"277","4.126634","192.168.0.100","54.187.107.148","UDP","165","54601  >  8801 Len=123"
"278","4.142447","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=5740 Win=64256 Len=0 TSval=455874315 TSecr=330882758"
"279","4.142453","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=5947 Win=64256 Len=0 TSval=455874315 TSecr=330882758"
"280","4.142531","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data"
"281","4.142780","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=6196 Win=64256 Len=0 TSval=455874315 TSecr=330882759"
"282","4.144478","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=6509 Win=64256 Len=0 TSval=455874315 TSecr=330882759"
"283","4.146512","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=7783 Win=64256 Len=0 TSval=455874316 TSecr=330882759"
"284","4.146591","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data, Application Data, Application Data"
"285","4.146591","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data, Application Data, Application Data"
"286","4.152708","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=8501 Win=64256 Len=0 TSval=455874320 TSecr=330882759"
"287","4.152713","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=8876 Win=64256 Len=0 TSval=455874320 TSecr=330882759"
"288","4.152834","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data, Application Data"
"289","4.152835","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data, Application Data"
"290","4.160732","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=9309 Win=64256 Len=0 TSval=455874329 TSecr=330882759"
"291","4.160735","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=10479 Win=64256 Len=0 TSval=455874329 TSecr=330882759"
"292","4.160802","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data, Application Data"
"293","4.160804","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data, Application Data"
"294","4.164468","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=11000 Win=64256 Len=0 TSval=455874337 TSecr=330882762"
"295","4.164472","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=12402 Win=64256 Len=0 TSval=455874337 TSecr=330882762"
"296","4.164537","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data, Application Data, Application Data"
"297","4.164568","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data, Application Data"
"298","4.164569","192.168.0.100","54.187.107.148","TLSv1.2","1414","Application Data, Application Data"
"299","4.164570","192.168.0.100","54.187.107.148","TLSv1.2","786","Application Data, Application Data"
"300","4.172939","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=13637 Win=64256 Len=0 TSval=455874347 TSecr=330882762"
"301","4.173479","192.168.0.100","54.187.107.148","TLSv1.2","324","Application Data"
